# oh-my-gosh — 书卷对照表（USFM 代码|English|简体|繁體|书卷标签|旧代码别名）
# 供 tools/fetch-verses.sh 生成经文数据时使用；不含任何经文原文。
# 最后一列是可选的历史 USFM 代码（eBible 的 VPL 里 John 写作 JOH、Mark 写作 MAR 等）。
GEN|Genesis|创世记|創世記|law
EXO|Exodus|出埃及记|出埃及記|law
LEV|Leviticus|利未记|利未記|law
NUM|Numbers|民数记|民數記|law
DEU|Deuteronomy|申命记|申命記|law
JOS|Joshua|约书亚记|約書亞記|history
JDG|Judges|士师记|士師記|history
RUT|Ruth|路得记|路得記|history
1SA|1 Samuel|撒母耳记上|撒母耳記上|history
2SA|2 Samuel|撒母耳记下|撒母耳記下|history
1KI|1 Kings|列王纪上|列王紀上|history
2KI|2 Kings|列王纪下|列王紀下|history
1CH|1 Chronicles|历代志上|歷代志上|history
2CH|2 Chronicles|历代志下|歷代志下|history
EZR|Ezra|以斯拉记|以斯拉記|history
NEH|Nehemiah|尼希米记|尼希米記|history
EST|Esther|以斯帖记|以斯帖記|history
JOB|Job|约伯记|約伯記|wisdom
PSA|Psalms|诗篇|詩篇|psalm
PRO|Proverbs|箴言|箴言|wisdom
ECC|Ecclesiastes|传道书|傳道書|wisdom
SNG|Song of Solomon|雅歌|雅歌|wisdom|SOL
ISA|Isaiah|以赛亚书|以賽亞書|prophecy
JER|Jeremiah|耶利米书|耶利米書|prophecy
LAM|Lamentations|耶利米哀歌|耶利米哀歌|prophecy
EZK|Ezekiel|以西结书|以西結書|prophecy|EZE
DAN|Daniel|但以理书|但以理書|prophecy
HOS|Hosea|何西阿书|何西阿書|prophecy
JOL|Joel|约珥书|約珥書|prophecy|JOE
AMO|Amos|阿摩司书|阿摩司書|prophecy
OBA|Obadiah|俄巴底亚书|俄巴底亞書|prophecy
JON|Jonah|约拿书|約拿書|prophecy
MIC|Micah|弥迦书|彌迦書|prophecy
NAM|Nahum|那鸿书|那鴻書|prophecy|NAH
HAB|Habakkuk|哈巴谷书|哈巴谷書|prophecy
ZEP|Zephaniah|西番雅书|西番雅書|prophecy
HAG|Haggai|哈该书|哈該書|prophecy
ZEC|Zechariah|撒迦利亚书|撒迦利亞書|prophecy
MAL|Malachi|玛拉基书|瑪拉基書|prophecy
MAT|Matthew|马太福音|馬太福音|gospel
MRK|Mark|马可福音|馬可福音|gospel|MAR
LUK|Luke|路加福音|路加福音|gospel
JHN|John|约翰福音|約翰福音|gospel|JOH
ACT|Acts|使徒行传|使徒行傳|history
ROM|Romans|罗马书|羅馬書|epistle
1CO|1 Corinthians|哥林多前书|哥林多前書|epistle
2CO|2 Corinthians|哥林多后书|哥林多後書|epistle
GAL|Galatians|加拉太书|加拉太書|epistle
EPH|Ephesians|以弗所书|以弗所書|epistle
PHP|Philippians|腓立比书|腓立比書|epistle|PHI
COL|Colossians|歌罗西书|歌羅西書|epistle
1TH|1 Thessalonians|帖撒罗尼迦前书|帖撒羅尼迦前書|epistle
2TH|2 Thessalonians|帖撒罗尼迦后书|帖撒羅尼迦後書|epistle
1TI|1 Timothy|提摩太前书|提摩太前書|epistle
2TI|2 Timothy|提摩太后书|提摩太後書|epistle
TIT|Titus|提多书|提多書|epistle
PHM|Philemon|腓利门书|腓利門書|epistle
HEB|Hebrews|希伯来书|希伯來書|epistle
JAS|James|雅各书|雅各書|epistle|JAM
1PE|1 Peter|彼得前书|彼得前書|epistle
2PE|2 Peter|彼得后书|彼得後書|epistle
1JN|1 John|约翰一书|約翰一書|epistle|1JO
2JN|2 John|约翰二书|約翰二書|epistle|2JO
3JN|3 John|约翰三书|約翰三書|epistle|3JO
JUD|Jude|犹大书|猶大書|epistle
REV|Revelation|启示录|啟示錄|prophecy
